image_path,mask_path
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_105_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_105_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_106_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_106_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_106_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_106_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_107_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_107_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_107_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_107_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_108_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_108_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_108_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_108_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_109_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_109_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_109_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_109_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_10_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_10_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_10_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_10_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_110_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_110_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_110_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_110_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_111_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_111_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_111_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_111_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_112_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_112_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_112_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_112_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_113_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_113_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_113_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_113_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_114_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_114_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_114_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_114_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_115_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_115_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_115_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_115_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_116_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_116_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_116_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_116_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_117_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_117_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_117_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_117_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_118_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_118_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_118_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_118_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_119_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_119_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_119_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_119_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_11_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_11_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_11_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_11_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_120_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_120_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_120_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_120_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_121_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_121_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_121_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_121_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_122_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_122_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_122_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_122_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_123_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_123_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_123_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_123_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_124_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_124_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_124_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_124_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_125_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_125_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_125_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_125_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_126_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_126_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_126_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_126_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_12_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_12_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_12_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_12_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_13_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_13_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_13_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_13_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_14_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_14_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_14_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_14_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_15_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_15_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_15_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_15_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_16_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_16_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_16_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_16_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_17_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_17_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_17_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_17_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_18_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_18_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_18_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_18_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_19_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_19_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_19_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_19_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_1_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_1_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_1_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_1_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_20_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_20_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_20_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_20_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_21_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_21_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_21_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_21_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_22_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_22_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_22_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_22_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_23_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_23_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_23_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_23_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_24_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_24_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_24_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_24_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_25_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_25_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_25_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_25_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_26_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_26_coronal.nii
